id,type,scene_id,target_objs_id,target_actions,language_sentence,language_words_op,gpointing_obj_probs
00-00-11-01,1,00-00,['00-00-02-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[0.047616757777278224, 0.04166294971990987, 1.0, 0.047330643255154965, 0.5673043312698363, 0.06499059091165947, 0.09772244154241409, 0.13337228552374722]"
00-00-12-02,2,00-00,['00-00-02-cub-r-10'],['pick up'],pick up cube,['cube'],"[0.05131010983036089, 0.044551725150186766, 1.0, 0.05115070580583764, 0.5352550411488808, 0.06959438056889847, 0.10074130860944311, 0.1473967288863924]"
00-00-13-03,3,00-00,['00-00-02-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.04196943389026673, 0.037420353453282866, 1.0, 0.041540785879453805, 0.6158797476461273, 0.05774147644458448, 0.09533819464151116, 0.11011000804477356]"
00-00-14-04,4,00-00,['00-00-02-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.09926323470533538, 0.08565028388192537, 1.0, 0.09443632093001725, 1.0, 0.15193573409690891, 0.23533944885878533, 0.3333749775270278]"
00-00-15-00,0,00-00,['00-00-03-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[1.0, 0.18106603113575856, 0.058131983455142436, 1.0, 0.05233210331048846, 0.10653477183544427, 0.04590157776727253, 0.5560335324958938]"
00-00-16-01,1,00-00,['00-00-03-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[1.0, 0.3544738784050742, 0.13892480333858476, 1.0, 0.12476409161334412, 0.2777693160608155, 0.10406791058218129, 1.0]"
00-00-17-02,2,00-00,['00-00-03-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.5462397342443573, 0.08880141725049083, 0.03950331694124519, 1.0, 0.034182800657951956, 0.05803341342325998, 0.030207316924915843, 0.20303200055777887]"
00-00-18-03,3,00-00,['00-00-03-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.7033566199036604, 0.0710826079899078, 0.025733603559628903, 1.0, 0.022713572577701145, 0.03994139535632305, 0.02051910405686941, 0.11665309655590941]"
00-00-19-04,4,00-00,['00-00-03-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[0.6909540369494975, 0.07141400670335085, 0.026737876730484184, 1.0, 0.023533344258264442, 0.041256300192335144, 0.02117050772775726, 0.12493392743831054]"
00-00-20-00,0,00-00,['00-00-04-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.049909698635536244, 0.045142955835653954, 1.0, 0.04182456747735004, 1.0, 0.12332197283257008, 0.5527878281017605, 0.18701297711712905]"
00-00-21-01,1,00-00,['00-00-04-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.13886875280590882, 0.13863963411003483, 1.0, 0.12126877026500847, 1.0, 0.27458827878324477, 1.0, 0.3266345640358031]"
00-00-22-02,2,00-00,['00-00-04-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.10741402522574564, 0.10052465697047458, 1.0, 0.08665075865030154, 1.0, 0.3300247396462214, 1.0, 0.37538581950725675]"
00-00-23-03,3,00-00,['00-00-04-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.11577431424371408, 0.10974245634736166, 1.0, 0.09525191888213638, 1.0, 0.31287647249899203, 1.0, 0.36635483802779584]"
00-00-24-04,4,00-00,['00-00-04-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[0.11258712547572981, 0.10883878821185203, 1.0, 0.09074556003481556, 1.0, 0.3430690384201503, 1.0, 0.3447594878574522]"
00-00-25-00,0,00-00,['00-00-05-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[0.787750777298612, 0.07586872529478635, 0.025958528739302256, 0.033978319820260526, 0.04671933828175581, 1.0, 0.029724310565282974, 1.0]"
00-00-26-01,1,00-00,['00-00-05-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[0.37146477986267906, 0.15967373326916665, 0.08528068870673133, 0.08361544813054654, 0.1968885245447102, 1.0, 0.1030768254861662, 1.0]"
00-00-27-02,2,00-00,['00-00-05-cub-r-10'],['pick up'],pick up cube,['cube'],"[1.0, 0.3007987166968673, 0.1365320025156554, 0.2501410313229108, 0.1943613187373199, 1.0, 0.11816693072724656, 1.0]"
00-00-28-03,3,00-00,['00-00-05-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.15207332469294796, 0.37265316820941635, 0.03605957472187238, 0.04168407175536004, 0.0679175604796699, 1.0, 0.07291178751842779, 0.25670051262230575]"
00-00-29-04,4,00-00,['00-00-05-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.5459610263151683, 0.15014869252967944, 0.05689731095614001, 0.06684620707010674, 0.11133843557060126, 1.0, 0.06880832755830431, 1.0]"
00-00-30-00,0,00-00,['00-00-06-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.05803461593534263, 0.07274017046658506, 0.13465278071017442, 0.04816367225314891, 0.4729935077135412, 0.11934905758158665, 1.0, 0.09406619533962113]"
00-00-31-01,1,00-00,['00-00-06-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.040567653953680366, 0.050732377768860096, 0.09389607034160023, 0.03280192570809982, 0.6187778299434316, 0.09503315825486118, 1.0, 0.06819098402946679]"
00-00-32-02,2,00-00,['00-00-06-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.08989588542384234, 0.10256205440755321, 0.3453457671930352, 0.07370116980439152, 1.0, 0.21613801863687995, 1.0, 0.17235710453429776]"
00-00-33-03,3,00-00,['00-00-06-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.08390301167017328, 0.0939316061251875, 0.3302676292606517, 0.06657906483147669, 1.0, 0.2501905489459914, 1.0, 0.1751281391665194]"
00-00-34-04,4,00-00,['00-00-06-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[0.026818239491681047, 0.03276819141531238, 0.0693095653319341, 0.02196408452327904, 0.7429057612304036, 0.06035319138286361, 1.0, 0.0458809666245263]"
00-00-35-00,0,00-00,['00-00-07-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[1.0, 0.1765792720538066, 0.12445692186359103, 0.4873781800697186, 0.1298476164203902, 1.0, 0.08173800959249353, 1.0]"
00-00-36-01,1,00-00,['00-00-07-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[0.0013088890764391436, 0.0005918992991350221, 0.0015742020439951914, 0.0007703847016148818, 0.0022310611143561794, 0.9929102382201472, 0.0006133255443123562, 1.0]"
00-00-37-02,2,00-00,['00-00-07-cub-r-10'],['pick up'],pick up cube,['cube'],"[0.48011702481791524, 0.09017087966173787, 0.10617281477066531, 0.1268843009715289, 0.13411292430194052, 1.0, 0.06254205547621226, 1.0]"
00-00-38-03,3,00-00,['00-00-07-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.23007710084616495, 0.08044661891571254, 0.13720125362458, 0.22123159969355813, 0.10327129007674671, 0.16813277000397794, 0.05963936683925962, 1.0]"
00-00-39-04,4,00-00,['00-00-07-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.43536832596008646, 0.05582924777072265, 0.06086367349515042, 0.220402618496698, 0.05307363413801476, 0.1414312966847465, 0.03303120345458114, 1.0]"
00-01-00-00,0,00-01,['00-01-00-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[1.0, 0.21010897887606428, 0.615323786607703, 0.05985244324908657, 1.0, 1.0, 0.05219905427474474, 0.06251573699240148]"
00-01-01-01,1,00-01,['00-01-00-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[1.0, 0.11488372329147252, 1.0, 0.08341963466368567, 1.0, 0.6855864591618636, 0.06161528520066542, 0.054494897682312755]"
00-01-02-02,2,00-01,['00-01-00-cub-r-10'],['pick up'],pick up cube,['cube'],"[1.0, 0.013579463057108257, 0.0439607705140668, 0.0054500644802946705, 1.0, 0.9283179616657171, 0.004523596082603925, 0.004168144200209188]"
00-01-03-03,3,00-01,['00-01-00-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[1.0, 0.02626156804944574, 0.8402932662653868, 0.04252440463406328, 1.0, 0.05681283811346858, 0.02313157666012621, 0.01097634627750945]"
00-01-04-04,4,00-01,['00-01-00-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[1.0, 0.04168236161580853, 0.29270017058860315, 0.019420989982093528, 1.0, 0.6165963624335583, 0.015676841246481273, 0.013923274133455066]"
00-01-05-00,0,00-01,['00-01-01-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[0.026772485403403573, 1.0, 0.01712939590306282, 0.012129196167952223, 0.03998361450907379, 0.8536201495853659, 0.014582532134677036, 0.03578262629646456]"
00-01-06-01,1,00-01,['00-01-01-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[0.04003273508427648, 1.0, 0.02259796236231726, 0.01642815652423226, 0.07120051974269029, 0.7933369137982458, 0.019800392222104078, 0.03660332026613386]"
00-01-07-02,2,00-01,['00-01-01-cub-r-10'],['pick up'],pick up cube,['cube'],"[0.17340466947948918, 1.0, 0.11604923402551806, 0.07964087500640447, 0.24175809926741884, 1.0, 0.09496443236842798, 0.2941826898527415]"
00-01-08-03,3,00-01,['00-01-01-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.19532581922373798, 1.0, 0.11158512060067192, 0.07618099973512743, 0.3123992145013722, 1.0, 0.09019288347695814, 0.2143159624621323]"
00-01-09-04,4,00-01,['00-01-01-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.17625680374593836, 1.0, 0.11380958477748145, 0.07592183825105529, 0.24578734879172218, 1.0, 0.08970557638852684, 0.29851884804527595]"
00-01-10-00,0,00-01,['00-01-02-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.5740988461061647, 0.04855065697100049, 1.0, 0.04383725460015022, 0.10698394466411663, 0.16121619968214582, 0.0333015167070738, 0.03201158126934855]"
00-01-11-01,1,00-01,['00-01-02-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.9263919545205742, 0.0074084418663397525, 1.0, 0.005513300320978522, 0.015786735287644273, 0.03555623217160795, 0.004379734731820236, 0.0049636011010352615]"
00-01-12-02,2,00-01,['00-01-02-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.9525857459642834, 0.005077641537604031, 1.0, 0.004232454863869495, 0.011814093035052166, 0.01972425035759203, 0.0032543790103004597, 0.0033114352312983574]"
00-01-13-03,3,00-01,['00-01-02-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.3202644814603925, 0.08454871635800669, 1.0, 0.07644770627894176, 0.150218836608011, 0.24922324460519926, 0.06003001457435556, 0.05926700011509323]"
00-01-14-04,4,00-01,['00-01-02-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[1.0, 0.09406527101291504, 1.0, 0.09377689088347026, 0.3775680166889795, 0.31343379292619583, 0.06607550346414258, 0.05508052502429688]"
00-01-15-00,0,00-01,['00-01-03-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.0859772324433351, 0.04246353112916448, 0.07552010870584563, 1.0, 0.20625322393973045, 0.055883646146088234, 0.5130150708476358, 0.020887186788200136]"
00-01-16-01,1,00-01,['00-01-03-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.17127458359344466, 0.10079367965888167, 0.1471321111166225, 1.0, 0.40561141373526677, 0.12620650076863404, 1.0, 0.04898171112715031]"
00-01-17-02,2,00-01,['00-01-03-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.03203745773416509, 0.019294715406110958, 0.030493465355855696, 1.0, 0.0621493102435577, 0.024646076065378747, 0.8216282985713789, 0.00975067662355288]"
00-01-18-03,3,00-01,['00-01-03-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.1504140459985826, 0.10272296501991342, 0.11443282604593401, 1.0, 0.4668267412229203, 0.11901430899079206, 1.0, 0.04658911272185749]"
00-01-19-04,4,00-01,['00-01-03-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[0.16978508231292472, 0.10066463314821822, 0.1442234346320757, 1.0, 0.41121304720458773, 0.12542842118238895, 1.0, 0.048685381519804706]"
00-01-20-00,0,00-01,['00-01-04-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[1.0, 0.20925837475719689, 0.15592479173346338, 0.1609625681986867, 1.0, 0.2825682213879288, 0.13659139113668045, 0.05469465278604385]"
00-01-21-01,1,00-01,['00-01-04-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[1.0, 0.11929303685691374, 0.13679111661574633, 0.3601422681084467, 1.0, 0.1572114359277833, 0.18570877439164382, 0.04085336809946611]"
00-01-22-02,2,00-01,['00-01-04-cub-y-10'],['pick up'],pick up cube,['cube'],"[1.0, 0.185878694447972, 0.1896155032760133, 0.10805008726294425, 1.0, 0.37879779011970366, 0.0881416858781161, 0.04951623901525067]"
00-01-23-03,3,00-01,['00-01-04-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[1.0, 0.2734461306285891, 0.12028503029241662, 0.09445843776284103, 1.0, 0.37027008119772625, 0.09047198712497204, 0.051068332993454923]"
00-01-24-04,4,00-01,['00-01-04-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[0.32675934704962195, 0.16787731142141846, 0.07505984866864059, 0.11086492227483388, 1.0, 0.15232173430800205, 0.12865128798167152, 0.03846554829581143]"
00-01-25-00,0,00-01,['00-01-05-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.3059000312494991, 1.0, 0.2165075677495472, 0.09308162180868987, 0.284046958469754, 1.0, 0.10046382072250994, 1.0]"
00-01-26-01,1,00-01,['00-01-05-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.1027112413905557, 0.6781612138871773, 0.07914836211288687, 0.027838781924342828, 0.08288732513009635, 1.0, 0.029253075554941013, 1.0]"
00-01-27-02,2,00-01,['00-01-05-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.31169217815014005, 1.0, 0.22644439355284346, 0.09064771217063587, 0.27438009355475057, 1.0, 0.09683562257163003, 1.0]"
00-01-28-03,3,00-01,['00-01-05-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.33973833970121153, 1.0, 0.22235347787429738, 0.08089118448700332, 0.2718280141967904, 1.0, 0.08518898374069732, 1.0]"
00-01-29-04,4,00-01,['00-01-05-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[0.15115991964641587, 0.5371348091169694, 0.12030456847733832, 0.03805974984631869, 0.11382318718835358, 1.0, 0.0395177657246042, 1.0]"
00-01-30-00,0,00-01,['00-01-06-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[0.15854551579782936, 0.1436697447653058, 0.12991039760481943, 1.0, 0.34706313930477084, 0.1548823813988592, 1.0, 0.06592882112841528]"
00-01-31-01,1,00-01,['00-01-06-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[0.09685703168743477, 0.1014673652919774, 0.08263923468751047, 0.3837326037502395, 0.18237959456403444, 0.10547990705789353, 1.0, 0.04744426296090986]"
00-01-32-02,2,00-01,['00-01-06-cub-r-10'],['pick up'],pick up cube,['cube'],"[0.036895216603989534, 0.03442932769393516, 0.030662800254213644, 0.767977055182937, 0.07718527709304182, 0.03692629784224879, 1.0, 0.015924025329634103]"
00-01-33-03,3,00-01,['00-01-06-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.09177490356794607, 0.09405640431539648, 0.07931624176658891, 0.4209727635787242, 0.17015845592187612, 0.099107370014706, 1.0, 0.044613860834762153]"
00-01-34-04,4,00-01,['00-01-06-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.09450367612538607, 0.09804360338454118, 0.08067755107453624, 0.40006240173476587, 0.17848847279228572, 0.1023101600861763, 1.0, 0.04591413480230859]"
00-01-35-00,0,00-01,['00-01-07-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[0.09947731850574265, 0.6415477119563223, 0.08781255540355686, 0.03758290587082844, 0.09298467678552162, 1.0, 0.04059483147802815, 1.0]"
00-01-36-01,1,00-01,['00-01-07-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[0.04497299516689928, 0.8306957053493685, 0.03858886881624935, 0.019060436215676796, 0.04560209455977829, 1.0, 0.021079899892027697, 1.0]"
00-01-37-02,2,00-01,['00-01-07-cub-r-10'],['pick up'],pick up cube,['cube'],"[0.12695086526187918, 0.517868569242619, 0.12092357222942227, 0.053962765528593824, 0.121669359193451, 1.0, 0.058624868544034675, 1.0]"
00-01-38-03,3,00-01,['00-01-07-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.09031445375282562, 0.6638930020595923, 0.08035542453074543, 0.037016148413540194, 0.08797685987037954, 1.0, 0.04044411137291678, 1.0]"
00-01-39-04,4,00-01,['00-01-07-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.0975598064899983, 0.6330374839167103, 0.08803847151903305, 0.04097835340696247, 0.09554173121356337, 1.0, 0.04484415345373246, 1.0]"
00-02-00-00,0,00-02,['00-02-00-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[1.0, 0.5737139449062685, 1.0, 0.03437285202586287, 0.0787881619681881, 0.06685587093898461, 0.05027908937895355, 0.19599008078174232]"
00-02-01-01,1,00-02,['00-02-00-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[1.0, 1.0, 1.0, 0.0757752780670228, 0.30065354129443733, 0.16307611293680957, 0.13511121109329183, 0.3253838566084385]"
00-02-02-02,2,00-02,['00-02-00-cub-r-10'],['pick up'],pick up cube,['cube'],"[1.0, 0.08327401165843759, 0.8151277053462784, 0.008654698647013846, 0.01872446679542354, 0.015904536809633534, 0.012115575234253807, 0.04619900550895919]"
00-02-03-03,3,00-02,['00-02-00-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[1.0, 0.5638631646185241, 1.0, 0.03607067856988369, 0.08321436446407003, 0.0688753391385987, 0.05238098308544215, 0.1955954701234812]"
00-02-04-04,4,00-02,['00-02-00-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[1.0, 0.9941493400993093, 1.0, 0.00046531730444447834, 0.0012041484869333276, 0.0009433811657991138, 0.000719563428552274, 0.0025182495149616837]"
00-02-05-00,0,00-02,['00-02-01-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[1.0, 1.0, 1.0, 0.035445878894401026, 0.696808635366669, 0.07833816906638669, 0.08036373283490507, 0.10904358383763825]"
00-02-06-01,1,00-02,['00-02-01-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[0.06718197160406043, 1.0, 1.0, 0.001383995022845148, 0.922426988176716, 0.002597840330859622, 0.0027756184957764317, 0.00363358636974232]"
00-02-07-02,2,00-02,['00-02-01-cub-r-10'],['pick up'],pick up cube,['cube'],"[1.0, 1.0, 1.0, 0.03196382909513077, 0.7431298490159187, 0.06501346720592158, 0.06671820961853077, 0.09317464506449803]"
00-02-08-03,3,00-02,['00-02-01-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.8398447343954395, 1.0, 1.0, 0.020138789714326682, 1.0, 0.04077163325116726, 0.04451085095924064, 0.05473399167982584]"
00-02-09-04,4,00-02,['00-02-01-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[1.0, 1.0, 1.0, 0.06269782733917728, 0.48511488929526864, 0.12723074067306409, 0.11961950425706916, 0.20533703843542075]"
00-02-10-00,0,00-02,['00-02-02-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[1.0, 1.0, 1.0, 0.06844667106954781, 0.3899707323974399, 0.15031290701982813, 0.13322994718428743, 0.2580397423288967]"
00-02-11-01,1,00-02,['00-02-02-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[1.0, 1.0, 1.0, 0.06227908690931162, 0.4884212568241758, 0.12652315627219837, 0.11912817830805711, 0.20364832168625716]"
00-02-12-02,2,00-02,['00-02-02-cub-y-10'],['pick up'],pick up cube,['cube'],"[1.0, 1.0, 1.0, 0.0678154820061378, 0.3758415702779914, 0.15494794816273438, 0.13570434731543857, 0.2656906522376979]"
00-02-13-03,3,00-02,['00-02-02-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[1.0, 1.0, 1.0, 0.06626107376231595, 0.394028985503659, 0.1515427695370817, 0.13451893811786877, 0.2536482330790745]"
00-02-14-04,4,00-02,['00-02-02-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[1.0, 1.0, 1.0, 0.06998754158549005, 0.34929979517449, 0.1593628371944442, 0.13671263260196212, 0.28463719344361366]"
00-02-15-00,0,00-02,['00-02-03-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.06709959699164993, 0.06800284626890875, 0.057008430230585966, 1.0, 0.059917427289321985, 0.2964694120306467, 0.17362743669082437, 0.2778748504980624]"
00-02-16-01,1,00-02,['00-02-03-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.07785981501875332, 0.07999315128267016, 0.06645557165569892, 1.0, 0.0723674727452794, 0.2550537258882061, 0.19064728887421534, 0.25762297453517674]"
00-02-17-02,2,00-02,['00-02-03-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.06907448952120829, 0.06858890790266255, 0.05800400653225697, 1.0, 0.0598150826187588, 0.27589514811633215, 0.1548241550759729, 0.31379821023280835]"
00-02-18-03,3,00-02,['00-02-03-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.05532619369647357, 0.055330059520208884, 0.04678209163558098, 1.0, 0.04762072499410954, 0.3505837931428487, 0.14752190191647255, 0.2968352350943057]"
00-02-19-04,4,00-02,['00-02-03-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[0.07204148434931477, 0.07627000262717198, 0.06252774844889929, 1.0, 0.06998424825020652, 0.27002156948658435, 0.2274522791062608, 0.22170266773156214]"
00-02-20-00,0,00-02,['00-02-04-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.054847858649969376, 0.7308779301320233, 0.06909953428105145, 0.021133351985551527, 1.0, 0.03439163950391581, 0.051521600616638595, 0.038128084830849965]"
00-02-21-01,1,00-02,['00-02-04-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.235074958471323, 1.0, 0.3105733328358269, 0.06831013719713563, 1.0, 0.11008343041390083, 0.14385793812802056, 0.13210020295379318]"
00-02-22-02,2,00-02,['00-02-04-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.24057374600220172, 1.0, 0.30446326238955906, 0.06975761111982855, 1.0, 0.11013577798556999, 0.14082482745992972, 0.13424477504291088]"
00-02-23-03,3,00-02,['00-02-04-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.05877947864447124, 0.7247124576782522, 0.07221113677853541, 0.02175026800549893, 1.0, 0.03442588116528414, 0.04874582198529574, 0.03937495574266224]"
00-02-24-04,4,00-02,['00-02-04-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[0.22490808308337762, 1.0, 0.32813295726113306, 0.06424276689359573, 1.0, 0.10851303173737248, 0.1477191624584278, 0.1264839985660933]"
00-02-25-00,0,00-02,['00-02-05-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.0006864337334958017, 0.0007125405461953669, 0.0006104259302771652, 0.0044484518579558045, 0.000529118606183573, 1.0, 0.9930130293258923, 1.0]"
00-02-26-01,1,00-02,['00-02-05-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.10250809707384763, 0.09489864127722389, 0.08698797068007394, 0.22768707083782583, 0.06303866363948346, 1.0, 0.4248795564915452, 1.0]"
00-02-27-02,2,00-02,['00-02-05-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.026128461466554852, 0.026546299363909683, 0.023132100272503772, 0.09957460358024109, 0.018913990681216502, 1.0, 0.8057045446355741, 1.0]"
00-02-28-03,3,00-02,['00-02-05-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.0762049132585998, 0.09209723139419516, 0.07451547448596349, 0.13899789521914144, 0.0652072333139156, 1.0, 1.0, 0.5529772523281845]"
