id,type,scene_id,target_objs_id,target_actions,language_sentence,language_words_op,gpointing_obj_probs
00-00-11-01,1,00-00,['00-00-02-cyl-r-10'],['pick up'],pick up red big cylinder,"['red', 'big', 'cylinder']","[0.8689308814671814, 0.009758604637400308, 1.0, 0.012309760510176574, 0.07202186008044453, 1.0, 0.024408255538958312, 0.012570637765838827]"
00-00-12-02,2,00-00,['00-00-02-cyl-r-10'],['pick up'],pick up cylinder,['cylinder'],"[1.0, 0.06253881605290534, 1.0, 0.07846689829473973, 0.6225010586585583, 1.0, 0.15655617212835898, 0.0799370548654377]"
00-00-13-03,3,00-00,['00-00-02-cyl-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[1.0, 0.06830496492756916, 1.0, 0.08565262485256936, 0.5890424993295893, 1.0, 0.16956440207530551, 0.08743550881496681]"
00-00-14-04,4,00-00,['00-00-02-cyl-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.8379495928121876, 0.011934500580311735, 1.0, 0.014951031450545948, 0.09051765094120379, 1.0, 0.0293499595758523, 0.015297264639898488]"
00-00-15-00,0,00-00,['00-00-03-cyl-r-03'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[0.06440031950003809, 0.10131326270146432, 0.057596850044739537, 1.0, 0.061262753233317, 0.059980036225736846, 1.0, 0.6554467782947043]"
00-00-16-01,1,00-00,['00-00-03-cyl-r-03'],['pick up'],pick up red small cylinder,"['red', 'small', 'cylinder']","[0.03830388984545086, 0.06468565823407492, 0.03502817846244715, 1.0, 0.03646545176833965, 0.036257187280868707, 1.0, 0.7892596344088187]"
00-00-17-02,2,00-00,['00-00-03-cyl-r-03'],['pick up'],pick up cylinder,['cylinder'],"[0.02874890190731576, 0.049458777939989464, 0.026502875007666668, 1.0, 0.027365051051572168, 0.02736533877457482, 1.0, 0.8405590553188811]"
00-00-18-03,3,00-00,['00-00-03-cyl-r-03'],['pick up'],pick up red solid,"['red', 'solid']","[0.05960635609391307, 0.09476406089507697, 0.05362239705257071, 1.0, 0.05664959255193803, 0.055713270892028904, 1.0, 0.6796443225144723]"
00-00-19-04,4,00-00,['00-00-03-cyl-r-03'],['pick up'],pick up red small solid,"['red', 'small', 'solid']","[0.047214591903244875, 0.07683771003019646, 0.0431185764790028, 1.0, 0.044775510429910396, 0.04454105354100015, 1.0, 0.7435125576166454]"
00-00-20-00,0,00-00,['00-00-04-cyl-r-10'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[1.0, 0.07865093371183095, 0.5511261171216161, 0.09158972258560172, 1.0, 1.0, 0.18480550185586123, 0.09382772472509007]"
00-00-21-01,1,00-00,['00-00-04-cyl-r-10'],['pick up'],pick up red big cylinder,"['red', 'big', 'cylinder']","[1.0, 0.02346675381624215, 0.11266015472821399, 0.027280285695902098, 1.0, 0.7517779067423911, 0.05688634790222989, 0.02792855111502096]"
00-00-22-02,2,00-00,['00-00-04-cyl-r-10'],['pick up'],pick up cylinder,['cylinder'],"[1.0, 0.09002270624658754, 0.4922460090993357, 0.10358839126313821, 1.0, 1.0, 0.20763416348173805, 0.10650872990920048]"
00-00-23-03,3,00-00,['00-00-04-cyl-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.2928695157705714, 0.013933562840223306, 0.06310160002608367, 0.01570627337615796, 1.0, 0.5675452495113824, 0.030576505579380894, 0.016267292896200214]"
00-00-24-04,4,00-00,['00-00-04-cyl-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[1.0, 0.0837219530265149, 0.5249310598004664, 0.09696393458751329, 1.0, 1.0, 0.19488231451136995, 0.09950073807413551]"
00-00-25-00,0,00-00,['00-00-05-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[0.8241232470359989, 0.004186224420241031, 1.0, 0.004921679814014392, 0.15254094608619695, 1.0, 0.009141516391315037, 0.005086386252233465]"
00-00-26-01,1,00-00,['00-00-05-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[1.0, 0.0029873460748269325, 1.0, 0.0035126924314769765, 0.9832935265682866, 1.0, 0.00658287776568694, 0.003623557159722477]"
00-00-27-02,2,00-00,['00-00-05-cub-r-10'],['pick up'],pick up cube,['cube'],"[0.6831641664847421, 0.014998408558085036, 0.23548082267876666, 0.01711055101752951, 1.0, 1.0, 0.03149271409735173, 0.017753337163525014]"
00-00-28-03,3,00-00,['00-00-05-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.41103787505433736, 0.015543676790488606, 1.0, 0.017960800552356358, 0.5041939287641539, 1.0, 0.03260185762181679, 0.018661861216846914]"
00-00-29-04,4,00-00,['00-00-05-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[1.0, 0.027297315888874574, 0.8466283969873702, 0.031915298469393345, 1.0, 1.0, 0.06135235601213769, 0.03280663264222421]"
00-00-30-00,0,00-00,['00-00-06-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.08026557836884268, 0.07875315868628048, 0.06682426407138795, 0.42725641275227505, 0.07307326909833022, 0.06931511882898934, 1.0, 0.20451219819389438]"
00-00-31-01,1,00-00,['00-00-06-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.075394596040025, 0.08147937890623973, 0.06251987589174644, 0.42796688787147374, 0.07023661986773304, 0.06577799737986198, 1.0, 0.2166246440429201]"
00-00-32-02,2,00-00,['00-00-06-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.09446806091407162, 0.10395643391415925, 0.07569538703182475, 0.31617078122353304, 0.09095425127543869, 0.0819050612792353, 1.0, 0.2368500243617373]"
00-00-33-03,3,00-00,['00-00-06-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.07562145288654239, 0.08028696770790493, 0.062787636479948, 0.432096629494755, 0.07012703589524455, 0.06586501306538856, 1.0, 0.2132152644702165]"
00-00-34-04,4,00-00,['00-00-06-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[0.08753943391516282, 0.08124735915841613, 0.07250433888842683, 0.4014345213004556, 0.07895018756434331, 0.0749321418970914, 1.0, 0.2033920172761038]"
00-00-35-00,0,00-00,['00-00-07-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.04024444833555952, 0.43365284876504656, 0.038533751667039866, 0.13194231106890997, 0.04179248797154001, 0.04174551061822165, 0.27208864157368234, 1.0]"
00-00-36-01,1,00-00,['00-00-07-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.04898642784478617, 0.2973539574574198, 0.04758016010869242, 0.17035530006520674, 0.05024889879513169, 0.05094662799559521, 0.33452862773316794, 1.0]"
00-00-37-02,2,00-00,['00-00-07-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.031566274536612586, 0.140755724558364, 0.03011727810980619, 0.16251653775895564, 0.031946566827557026, 0.0320789750976042, 0.5710186431111004, 1.0]"
00-00-38-03,3,00-00,['00-00-07-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.045371200177168156, 0.3301135888778362, 0.04372616783655587, 0.15896234490052977, 0.04672988141138664, 0.04703407728386838, 0.3280627395126549, 1.0]"
00-00-39-04,4,00-00,['00-00-07-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[0.048619358140499565, 0.19008376689389953, 0.04763109261312684, 0.19747020279282504, 0.04901101744754972, 0.050276105706639616, 0.4169084564054596, 1.0]"
00-01-00-00,0,00-01,['00-01-00-cyl-r-10'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[1.0, 0.07782421949903447, 0.5319255597143677, 0.07582293603350503, 0.08903975010493845, 0.09353342192869904, 0.08932314202641027, 0.0425309706930449]"
00-01-01-01,1,00-01,['00-01-00-cyl-r-10'],['pick up'],pick up red big cylinder,"['red', 'big', 'cylinder']","[1.0, 0.15321847306583267, 1.0, 0.21161187160745232, 0.18473056939760935, 0.18436976078350925, 0.17669400193292314, 0.08937532321267333]"
00-01-02-02,2,00-01,['00-01-00-cyl-r-10'],['pick up'],pick up cylinder,['cylinder'],"[1.0, 0.13468634490364276, 1.0, 0.14467389897046432, 0.18335491597088804, 0.2524142969103891, 0.20585223380350554, 0.07901830944111032]"
00-01-03-03,3,00-01,['00-01-00-cyl-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[1.0, 0.1324186354337308, 1.0, 0.18581586649520426, 0.18423094933818482, 0.22294671010186348, 0.19386176165231025, 0.08072607697870635]"
00-01-04-04,4,00-01,['00-01-00-cyl-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[1.0, 0.14310842210103478, 1.0, 0.2507817197375084, 0.17876851997972085, 0.1734930967332486, 0.16749046212537186, 0.08635777932311542]"
00-01-05-00,0,00-01,['00-01-01-cyl-r-10'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[0.17149707850704293, 1.0, 0.14384127146773187, 0.11330907649005378, 1.0, 0.17726184080065885, 1.0, 0.3940907327345125]"
00-01-06-01,1,00-01,['00-01-01-cyl-r-10'],['pick up'],pick up red big cylinder,"['red', 'big', 'cylinder']","[0.02545877766074293, 1.0, 0.020507023871755018, 0.01616078981308325, 0.7439394547959373, 0.024403892373858652, 0.13047005940572617, 0.03906000207889674]"
00-01-07-02,2,00-01,['00-01-01-cyl-r-10'],['pick up'],pick up cylinder,['cylinder'],"[0.009155565618653131, 1.0, 0.007596059418662582, 0.005959070801713003, 1.0, 0.009386070346987848, 0.9480157570351188, 0.01988747677886477]"
00-01-08-03,3,00-01,['00-01-01-cyl-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.028609478146409306, 1.0, 0.022789029596040896, 0.017827179813691665, 0.7089025787991836, 0.027332403309366062, 0.15124464162896498, 0.04329468870634339]"
00-01-09-04,4,00-01,['00-01-01-cyl-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.011978048050395365, 1.0, 0.008907728991053533, 0.006605762201940466, 0.7457664099105853, 0.011561431680094133, 0.1968090582322269, 0.01837156093370419]"
00-01-10-00,0,00-01,['00-01-02-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[0.492661766979458, 0.0064918530635107935, 1.0, 0.4713022515473615, 0.009533265299579352, 0.007509192877080832, 0.008110473075944048, 0.004391197157065413]"
00-01-11-01,1,00-01,['00-01-02-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[1.0, 0.10130573397405342, 1.0, 0.4354247354834287, 0.1424065928050372, 0.1266347904320028, 0.12813142637140137, 0.06609672093407647]"
00-01-12-02,2,00-01,['00-01-02-cub-r-10'],['pick up'],pick up cube,['cube'],"[1.0, 0.0862775414855459, 1.0, 0.5474608510158755, 0.11538766827930516, 0.0954856783902398, 0.09915329157405084, 0.05623496925498271]"
00-01-13-03,3,00-01,['00-01-02-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[1.0, 0.026072561657749176, 1.0, 0.8567625925681737, 0.0376390696503712, 0.029929960930456263, 0.03206223695463887, 0.01753357823861086]"
00-01-14-04,4,00-01,['00-01-02-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.5172381274022542, 0.08662172127879227, 1.0, 1.0, 0.13261981630232766, 0.09518365650178365, 0.10835793258232237, 0.05997874593252]"
00-01-15-00,0,00-01,['00-01-03-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.0848033161506931, 0.047520827420598766, 0.664335482161269, 1.0, 0.07337441925200401, 0.04289505271187336, 0.05341480979404344, 0.03365609250951823]"
00-01-16-01,1,00-01,['00-01-03-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.050437509384600086, 0.02572207045324218, 0.8156803684614156, 1.0, 0.038227228102233834, 0.023490004258905163, 0.02838705650176736, 0.01805576283783584]"
00-01-17-02,2,00-01,['00-01-03-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.06583354497352238, 0.03342592026856883, 0.7619035596138365, 1.0, 0.04876191623171016, 0.030366686762032327, 0.03634038604836991, 0.0233679861019599]"
00-01-18-03,3,00-01,['00-01-03-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.13158867449499057, 0.08203736590284491, 0.44913191078360865, 1.0, 0.12105841136573817, 0.07106813609535187, 0.08744807314282403, 0.05766742821464185]"
00-01-19-04,4,00-01,['00-01-03-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[0.33312675205466896, 0.12394716318074647, 1.0, 1.0, 0.18883657465623055, 0.12199208727369032, 0.14516769400081495, 0.08692972883384885]"
00-01-20-00,0,00-01,['00-01-04-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.1283965615336423, 1.0, 0.11672269222444935, 0.09371589871705861, 1.0, 0.14086524814383325, 1.0, 0.5202995993810166]"
00-01-21-01,1,00-01,['00-01-04-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.12536244165814497, 1.0, 0.11937577145639379, 0.09762300871096938, 1.0, 0.13832588123439798, 1.0, 0.5193128969400939]"
00-01-22-02,2,00-01,['00-01-04-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.12858920064339696, 1.0, 0.1235501296730735, 0.10166757457967784, 1.0, 0.14146274580718143, 1.0, 0.5047303492966702]"
00-01-23-03,3,00-01,['00-01-04-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.08286378864181719, 0.44993885074142353, 0.0880659933617169, 0.07621521019103406, 1.0, 0.08891377448321745, 1.0, 0.21400238258079093]"
00-01-24-04,4,00-01,['00-01-04-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[0.11627862300654232, 1.0, 0.10507923160404735, 0.08339299089265961, 1.0, 0.12917404996725085, 1.0, 0.5660751045294999]"
00-01-25-00,0,00-01,['00-01-05-cyl-r-03'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[0.44660668858668806, 0.09903019212148202, 0.10997382380317937, 0.03981140152120504, 0.24768699763791682, 1.0, 1.0, 0.056890896329528685]"
00-01-26-01,1,00-01,['00-01-05-cyl-r-03'],['pick up'],pick up red small cylinder,"['red', 'small', 'cylinder']","[0.4388630718266565, 0.10859173495914046, 0.10184425486061813, 0.03891877208404365, 0.25299618278969543, 1.0, 1.0, 0.058785983479845955]"
00-01-27-02,2,00-01,['00-01-05-cyl-r-03'],['pick up'],pick up cylinder,['cylinder'],"[0.4111327834262118, 0.112438412971512, 0.10382970985008368, 0.03998295697269585, 0.2713656836869472, 1.0, 1.0, 0.06125045309254949]"
00-01-28-03,3,00-01,['00-01-05-cyl-r-03'],['pick up'],pick up red solid,"['red', 'solid']","[0.49544791021803714, 0.1066660238421106, 0.09116496424814924, 0.03565791326214944, 0.21691167145305487, 1.0, 1.0, 0.05415151697649871]"
00-01-29-04,4,00-01,['00-01-05-cyl-r-03'],['pick up'],pick up red small solid,"['red', 'small', 'solid']","[0.5488677512378314, 0.08094177331943124, 0.10024297124455529, 0.03457015560982273, 0.18879943583715497, 1.0, 1.0, 0.04657791275120443]"
00-01-30-00,0,00-01,['00-01-06-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[0.029134699786081887, 0.19443987371108115, 0.027874156500697213, 0.019857061126575957, 1.0, 0.03745165072179608, 1.0, 0.6912425581537676]"
00-01-31-01,1,00-01,['00-01-06-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[0.03926705432347826, 1.0, 0.031370103128837194, 0.02228984699632522, 1.0, 0.04773589551595247, 1.0, 0.8593371000354069]"
00-01-32-02,2,00-01,['00-01-06-cub-r-10'],['pick up'],pick up cube,['cube'],"[0.054283943223519614, 1.0, 0.04108115042817547, 0.027710008339857182, 1.0, 0.070778800479184, 1.0, 0.8061460975292637]"
00-01-33-03,3,00-01,['00-01-06-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.010199943680798235, 0.09644390467184703, 0.009725684566429955, 0.007080416064875234, 1.0, 0.012824304477992205, 1.0, 0.8637257465380573]"
00-01-34-04,4,00-01,['00-01-06-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.2725119530882377, 1.0, 0.2140802088780683, 0.14418978252780054, 1.0, 0.36921805550589354, 1.0, 1.0]"
00-01-35-00,0,00-01,['00-01-07-cyl-r-03'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[0.26251244355568903, 1.0, 0.23111494011369643, 0.16289953346259906, 1.0, 0.3434730828680155, 1.0, 1.0]"
00-01-36-01,1,00-01,['00-01-07-cyl-r-03'],['pick up'],pick up red small cylinder,"['red', 'small', 'cylinder']","[0.2649989800201259, 1.0, 0.22949723627847682, 0.16241881758944846, 1.0, 0.34308496611194894, 1.0, 1.0]"
00-01-37-02,2,00-01,['00-01-07-cyl-r-03'],['pick up'],pick up cylinder,['cylinder'],"[0.2670825064414748, 1.0, 0.2280088094345092, 0.16148682947705423, 1.0, 0.34342185464696173, 1.0, 1.0]"
00-01-38-03,3,00-01,['00-01-07-cyl-r-03'],['pick up'],pick up red solid,"['red', 'solid']","[0.2664778973539088, 1.0, 0.22807865986394896, 0.16120442203407478, 1.0, 0.3442390207480675, 1.0, 1.0]"
00-01-39-04,4,00-01,['00-01-07-cyl-r-03'],['pick up'],pick up red small solid,"['red', 'small', 'solid']","[0.2645485838544461, 1.0, 0.22844995077779742, 0.16041836892578834, 1.0, 0.3465830964419683, 1.0, 1.0]"
00-02-00-00,0,00-02,['00-02-00-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[1.0, 0.07866553801004976, 0.05202171279699717, 0.5392357536846006, 0.060095230581770534, 0.1005197268703046, 0.11490740724296356, 0.05455463081331361]"
00-02-01-01,1,00-02,['00-02-00-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[1.0, 0.025620379596483205, 0.01893074842824942, 0.8327265894889619, 0.021223424976150606, 0.04618843708059823, 0.03535326230301621, 0.019957158126540395]"
00-02-02-02,2,00-02,['00-02-00-cub-y-10'],['pick up'],pick up cube,['cube'],"[1.0, 0.14348634024433568, 0.10667695744558049, 1.0, 0.11800798193156571, 0.3203028580189084, 0.19737812741610714, 0.1141477349435027]"
00-02-03-03,3,00-02,['00-02-00-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[1.0, 0.1509374311169919, 0.10851924118660167, 1.0, 0.12124778094040337, 0.29259604031022, 0.2108784534926977, 0.11582105295308538]"
00-02-04-04,4,00-02,['00-02-00-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[1.0, 0.12332165051762946, 0.091243814217794, 1.0, 0.09898037313310278, 0.41494161696484644, 0.1711984573974009, 0.10031408776922658]"
00-02-05-00,0,00-02,['00-02-01-cyl-r-03'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[0.15734218652606405, 1.0, 0.18273186298287727, 0.12448760501237083, 0.25575472109421743, 0.08795152037507234, 1.0, 0.19173210400939822]"
00-02-06-01,1,00-02,['00-02-01-cyl-r-03'],['pick up'],pick up red small cylinder,"['red', 'small', 'cylinder']","[0.14654363978167273, 1.0, 0.1870673947066992, 0.11480848956414356, 0.2808147376450711, 0.08196010453464161, 1.0, 0.1888056337677718]"
00-02-07-02,2,00-02,['00-02-01-cyl-r-03'],['pick up'],pick up cylinder,['cylinder'],"[0.15222942572280437, 1.0, 0.18525766341592698, 0.1208745327464743, 0.2624422405065411, 0.08597147648432624, 1.0, 0.19322466112392708]"
00-02-08-03,3,00-02,['00-02-01-cyl-r-03'],['pick up'],pick up red solid,"['red', 'solid']","[0.15227237801794455, 1.0, 0.185326225564303, 0.12129093761908191, 0.2606186519037106, 0.08631717879143454, 1.0, 0.19417462810352534]"
00-02-09-04,4,00-02,['00-02-01-cyl-r-03'],['pick up'],pick up red small solid,"['red', 'small', 'solid']","[0.15327588011307744, 1.0, 0.1850071789225748, 0.12311946390283937, 0.2543930737165523, 0.08766289829490094, 1.0, 0.1965415050500551]"
00-02-10-00,0,00-02,['00-02-02-cyl-r-10'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[0.0013128592167062343, 0.002214720059295455, 1.0, 0.0012285523922209488, 0.005260828619521925, 0.0011017961133812375, 0.007033457029355771, 0.9818477865695183]"
00-02-11-01,1,00-02,['00-02-02-cyl-r-10'],['pick up'],pick up red big cylinder,"['red', 'big', 'cylinder']","[0.07704823785993696, 0.12740106266992995, 1.0, 0.07260275251405961, 0.2832693883259029, 0.06555200487144541, 0.3741265537587251, 1.0]"
00-02-12-02,2,00-02,['00-02-02-cyl-r-10'],['pick up'],pick up cylinder,['cylinder'],"[0.04232243511100738, 0.06643684251951745, 1.0, 0.03921401574024329, 0.15624157815665188, 0.03518047773832729, 0.16619536978443622, 0.49440928094981657]"
00-02-13-03,3,00-02,['00-02-02-cyl-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.0816727994624628, 0.13212412391036896, 1.0, 0.0773763988116938, 0.2793104860503422, 0.07028222042988663, 0.3592339713352457, 1.0]"
00-02-14-04,4,00-02,['00-02-02-cyl-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.08698240887943262, 0.13731045180083626, 1.0, 0.08315804820302308, 0.27095238315562314, 0.07620800931568254, 0.3453886986454022, 1.0]"
00-02-15-00,0,00-02,['00-02-03-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[0.8222730169659269, 0.0358567403783311, 0.02947979146828186, 1.0, 0.030446327642106818, 1.0, 0.04841334631464122, 0.03353077723071193]"
00-02-16-01,1,00-02,['00-02-03-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[0.8526035240867971, 0.02968585608151466, 0.024609379829006798, 1.0, 0.02545270789106284, 1.0, 0.039806585368521746, 0.02784194674309697]"
00-02-17-02,2,00-02,['00-02-03-cub-r-10'],['pick up'],pick up cube,['cube'],"[0.6346338598159186, 0.005073619808690049, 0.004104151734950651, 1.0, 0.004263584736949217, 0.3403842460426683, 0.006885017907307806, 0.004655519953515415]"
00-02-18-03,3,00-02,['00-02-03-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.5109718543712859, 0.005575264574062597, 0.004514664671429767, 1.0, 0.004687836802781144, 0.46156359983428535, 0.007563976073105833, 0.005122803673049275]"
00-02-19-04,4,00-02,['00-02-03-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.7024318384749438, 0.004524828950225027, 0.003656502143190579, 1.0, 0.0037995500352359193, 0.2752967360992949, 0.0061428968134831525, 0.004147647483626662]"
00-02-20-00,0,00-02,['00-02-04-cyl-r-03'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[0.06228013006687724, 0.15416571610876773, 0.49096769951403885, 0.05217516517669237, 1.0, 0.042302953584578314, 1.0, 0.19810833554904556]"
00-02-21-01,1,00-02,['00-02-04-cyl-r-03'],['pick up'],pick up red small cylinder,"['red', 'small', 'cylinder']","[0.06206102751876864, 0.15354301846791435, 0.4923011648153494, 0.05200478086869496, 1.0, 0.042172792791344026, 1.0, 0.19791721553792854]"
00-02-22-02,2,00-02,['00-02-04-cyl-r-03'],['pick up'],pick up cylinder,['cylinder'],"[0.060995234000810326, 0.15173605258568768, 0.4967677648900854, 0.05119342008992321, 1.0, 0.04154416587845886, 1.0, 0.19776336255503454]"
00-02-23-03,3,00-02,['00-02-04-cyl-r-03'],['pick up'],pick up red solid,"['red', 'solid']","[0.05966358052605648, 0.15982096297151754, 0.4839006147651425, 0.0503736319820609, 1.0, 0.040863987616221446, 1.0, 0.205377222139001]"
00-02-24-04,4,00-02,['00-02-04-cyl-r-03'],['pick up'],pick up red small solid,"['red', 'small', 'solid']","[0.05887272060791982, 0.13599989445466193, 0.5272151198904763, 0.04937651141451304, 1.0, 0.040219830492137724, 1.0, 0.18831592314029122]"
00-02-25-00,0,00-02,['00-02-05-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[0.038393965363496804, 0.014647635194590633, 0.013423869124318097, 0.8845157593247645, 0.013006848580324139, 1.0, 0.019840797474558913, 0.01617112493794683]"
00-02-26-01,1,00-02,['00-02-05-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[0.35214546180339357, 0.12336406372442284, 0.11400901710047642, 1.0, 0.11128066427093486, 1.0, 0.16415509550010038, 0.13504569760067192]"
00-02-27-02,2,00-02,['00-02-05-cub-r-10'],['pick up'],pick up cube,['cube'],"[0.39933447573679975, 0.11578091641802324, 0.10476711580857426, 1.0, 0.10355301618695455, 1.0, 0.15385336637977937, 0.12271110946986888]"
00-02-28-03,3,00-02,['00-02-05-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.38631387059954997, 0.11769320356172315, 0.1080300333868814, 1.0, 0.1065244690795374, 1.0, 0.15526347536206792, 0.12617494801024015]"
